2019-05-18 10:47:07,506 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 0, layer number 30, loss= tensor(0.8131, device='cuda:0')
2019-05-18 10:48:16,636 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 1, layer number 30, loss= tensor(0.6363, device='cuda:0')
2019-05-18 10:53:25,926 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 2, layer number 30, loss= tensor(0.4136, device='cuda:0')
2019-05-18 11:01:42,379 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 3, layer number 30, loss= tensor(0.1714, device='cuda:0')
2019-05-18 11:09:49,661 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 4, layer number 30, loss= tensor(1.0192, device='cuda:0')
2019-05-18 11:17:45,284 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 5, layer number 30, loss= tensor(0.1300, device='cuda:0')
2019-05-18 11:26:06,260 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 6, layer number 30, loss= tensor(0.1584, device='cuda:0')
2019-05-18 11:34:18,940 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 7, layer number 30, loss= tensor(0.2025, device='cuda:0')
2019-05-18 11:42:27,718 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 8, layer number 30, loss= tensor(0.2349, device='cuda:0')
2019-05-18 11:50:51,477 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 9, layer number 30, loss= tensor(0.2547, device='cuda:0')
2019-05-18 11:59:19,438 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 10, layer number 30, loss= tensor(0.2645, device='cuda:0')
2019-05-18 12:07:44,532 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 11, layer number 30, loss= tensor(0.2703, device='cuda:0')
2019-05-18 12:16:17,230 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 12, layer number 30, loss= tensor(0.2694, device='cuda:0')
2019-05-18 12:24:56,177 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 13, layer number 30, loss= tensor(0.2639, device='cuda:0')
2019-05-18 12:33:32,097 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 14, layer number 30, loss= tensor(0.2553, device='cuda:0')
2019-05-18 12:42:16,374 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 15, layer number 30, loss= tensor(0.2470, device='cuda:0')
2019-05-18 12:50:58,224 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 16, layer number 30, loss= tensor(0.2379, device='cuda:0')
2019-05-18 12:59:48,818 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 17, layer number 30, loss= tensor(0.2273, device='cuda:0')
2019-05-18 13:08:35,088 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 18, layer number 30, loss= tensor(0.2198, device='cuda:0')
2019-05-18 13:17:25,288 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 19, layer number 30, loss= tensor(0.2136, device='cuda:0')
2019-05-18 13:26:25,481 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 20, layer number 30, loss= tensor(0.2063, device='cuda:0')
2019-05-18 13:35:36,783 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 21, layer number 30, loss= tensor(0.1982, device='cuda:0')
2019-05-18 13:45:06,464 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 22, layer number 30, loss= tensor(0.1900, device='cuda:0')
2019-05-18 13:54:17,771 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 23, layer number 30, loss= tensor(0.1834, device='cuda:0')
2019-05-18 14:03:42,908 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 24, layer number 30, loss= tensor(0.1724, device='cuda:0')
2019-05-18 14:13:02,710 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 25, layer number 30, loss= tensor(0.1626, device='cuda:0')
2019-05-18 14:22:12,522 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 26, layer number 30, loss= tensor(0.1548, device='cuda:0')
2019-05-18 14:25:25,908 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 27, layer number 30, loss= tensor(0.1507, device='cuda:0')
2019-05-18 14:26:36,693 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 28, layer number 30, loss= tensor(0.1426, device='cuda:0')
2019-05-18 14:27:46,704 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 29, layer number 30, loss= tensor(0.1370, device='cuda:0')
2019-05-18 14:28:56,301 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 30, layer number 30, loss= tensor(0.1340, device='cuda:0')
2019-05-18 14:30:06,648 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 31, layer number 30, loss= tensor(0.1257, device='cuda:0')
2019-05-18 14:31:12,819 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 32, layer number 30, loss= tensor(0.1170, device='cuda:0')
2019-05-18 14:32:15,982 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 33, layer number 30, loss= tensor(0.1160, device='cuda:0')
2019-05-18 14:33:19,492 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 34, layer number 30, loss= tensor(0.1206, device='cuda:0')
2019-05-18 14:34:21,989 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 35, layer number 30, loss= tensor(0.1162, device='cuda:0')
2019-05-18 14:35:24,047 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 36, layer number 30, loss= tensor(0.1133, device='cuda:0')
2019-05-18 14:36:26,163 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 37, layer number 30, loss= tensor(0.1131, device='cuda:0')
2019-05-18 14:37:28,371 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 38, layer number 30, loss= tensor(0.1112, device='cuda:0')
