2019-05-18 14:55:38,658 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 0, layer number 30, loss= tensor(0.8176, device='cuda:0')
2019-05-18 14:57:09,396 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 1, layer number 30, loss= tensor(0.6732, device='cuda:0')
2019-05-18 15:05:54,565 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 2, layer number 30, loss= tensor(0.5343, device='cuda:0')
2019-05-18 15:14:56,878 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 3, layer number 30, loss= tensor(0.4240, device='cuda:0')
2019-05-18 15:24:01,000 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 4, layer number 30, loss= tensor(0.5750, device='cuda:0')
2019-05-18 15:32:52,035 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 5, layer number 30, loss= tensor(0.4196, device='cuda:0')
2019-05-18 15:41:51,803 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 6, layer number 30, loss= tensor(0.4199, device='cuda:0')
2019-05-18 15:50:43,700 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 7, layer number 30, loss= tensor(0.4263, device='cuda:0')
2019-05-18 15:59:50,197 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 8, layer number 30, loss= tensor(0.4291, device='cuda:0')
2019-05-18 16:08:58,817 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 9, layer number 30, loss= tensor(0.4333, device='cuda:0')
2019-05-18 16:18:23,787 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 10, layer number 30, loss= tensor(0.4396, device='cuda:0')
2019-05-18 16:27:52,762 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 11, layer number 30, loss= tensor(0.4402, device='cuda:0')
2019-05-18 16:36:54,307 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 12, layer number 30, loss= tensor(0.4397, device='cuda:0')
2019-05-18 16:45:50,258 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 13, layer number 30, loss= tensor(0.4384, device='cuda:0')
